TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionType,Channel,CustomerOccupation,Location,Target
230.66,21.0,135.0,1.0,618.05,Atlanta,Albuquerque,Atlanta,San Antonio,6.0
644.17,29.0,72.0,1.0,1143.52,Albuquerque,Atlanta,Atlanta,Mesa,1.0
508.67999999999995,51.0,127.0,1.0,7708.41,Albuquerque,Atlanta,Baltimore,San Francisco,6.0
858.63,27.0,185.0,1.0,1872.96,Atlanta,Albuquerque,Atlanta,Louisville,1.0
25.36,57.0,78.0,1.0,201.04,Atlanta,Atlanta,Austin,Charlotte,5.0
147.62,71.0,133.0,1.0,2115.8,Atlanta,Atlanta,Albuquerque,San Antonio,6.0
115.02,37.0,175.0,1.0,7643.66,Atlanta,Atlanta,Atlanta,Fort Worth,3.0
383.37,30.0,24.0,1.0,8901.93,Albuquerque,Austin,Baltimore,El Paso,3.0
98.54,20.0,167.0,1.0,9383.43,Austin,Atlanta,Albuquerque,Fort Worth,3.0
83.24,55.0,164.0,1.0,1181.31,Atlanta,Atlanta,Atlanta,Virginia Beach,2.0
196.16,27.0,146.0,1.0,9418.86,Atlanta,Albuquerque,Atlanta,Las Vegas,7.0
129.94,32.0,235.0,1.0,7954.919999999999,Atlanta,Austin,Atlanta,Colorado Springs,5.0
306.9,46.0,51.00000000000001,1.0,9418.08,Atlanta,Austin,Austin,Seattle,2.0
114.98,59.0,80.0,1.0,6144.68,Atlanta,Atlanta,Baltimore,Sacramento,6.0
756.59,27.0,17.0,1.0,420.65,Atlanta,Albuquerque,Austin,Columbus,5.0
503.76000000000005,22.0,35.0,1.0,447.82,Austin,Albuquerque,Baltimore,New York,8.0
143.03,63.0,147.0,1.0,7981.450000000001,Albuquerque,Austin,Atlanta,Dallas,5.0
1045.22,53.0,73.0,1.0,1829.9,Albuquerque,Albuquerque,Austin,Dallas,5.0
245.54,25.0,180.0,1.0,985.0600000000001,Atlanta,Austin,Atlanta,Fresno,3.0
254.37000000000003,51.0,174.0,1.0,8849.26,Albuquerque,Austin,Albuquerque,Austin,0.0
213.76,78.0,282.0,1.0,3528.72,Albuquerque,Albuquerque,Atlanta,Oklahoma City,8.0
327.86,40.0,104.0,1.0,480.16,Atlanta,Austin,Atlanta,Boston,0.0
2.5,47.0,107.0,1.0,12145.27,Atlanta,Atlanta,Atlanta,Fresno,3.0
300.08,68.0,47.0,1.0,13546.75,Atlanta,Albuquerque,Austin,Houston,7.0
56.98,43.0,122.0,2.0,5688.37,Albuquerque,Austin,Albuquerque,Detroit,3.0
407.65,26.0,61.99999999999999,1.0,8346.64,Atlanta,Austin,Baltimore,Detroit,3.0
115.83,39.0,167.0,1.0,6481.04,Atlanta,Austin,Atlanta,Portland,4.0
53.57,69.0,121.0,1.0,1651.33,Atlanta,Albuquerque,Austin,Washington,2.0
63.34,46.0,165.0,1.0,11174.94,Atlanta,Atlanta,Albuquerque,Philadelphia,4.0
317.87,27.0,91.0,1.0,145.5,Atlanta,Austin,Baltimore,Tucson,2.0
331.65,41.0,61.00000000000001,1.0,4172.57,Atlanta,Atlanta,Atlanta,Oklahoma City,8.0
5.04,56.0,41.0,1.0,5558.36,Albuquerque,Atlanta,Austin,San Antonio,6.0
214.54,70.0,247.0,1.0,11151.53,Atlanta,Austin,Atlanta,Louisville,1.0
598.81,57.0,158.0,1.0,1415.52,Albuquerque,Atlanta,Baltimore,Los Angeles,1.0
841.28,26.0,80.0,1.0,1103.64,Atlanta,Albuquerque,Albuquerque,Albuquerque,0.0
38.15,26.0,107.99999999999999,1.0,303.68,Atlanta,Albuquerque,Albuquerque,Milwaukee,8.0
1036.66,58.0,144.0,1.0,5541.57,Atlanta,Atlanta,Baltimore,San Antonio,6.0
124.72,33.0,105.0,1.0,6309.8,Atlanta,Austin,Baltimore,Chicago,5.0
302.45,78.0,40.0,1.0,5133.61,Atlanta,Austin,Albuquerque,Chicago,5.0
208.04,47.0,273.0,1.0,9344.98,Atlanta,Albuquerque,Baltimore,Charlotte,5.0
5.77,23.0,254.0,1.0,1117.97,Albuquerque,Austin,Austin,Oklahoma City,8.0
381.33,56.0,75.0,1.0,11835.35,Albuquerque,Atlanta,Austin,Jacksonville,7.0
16.16,50.0,123.99999999999999,1.0,14401.17,Atlanta,Albuquerque,Baltimore,Los Angeles,1.0
486.0799999999999,18.0,68.00000000000001,1.0,1748.69,Atlanta,Atlanta,Austin,Sacramento,6.0
336.39,21.0,18.0,1.0,1000.46,Atlanta,Austin,Albuquerque,New York,8.0
997.4299999999998,69.0,118.0,1.0,6810.05,Atlanta,Albuquerque,Albuquerque,Memphis,1.0
234.57,23.0,120.0,1.0,263.98,Atlanta,Austin,Austin,Philadelphia,4.0
6.0,30.0,246.0,1.0,5442.76,Atlanta,Austin,Austin,Virginia Beach,2.0
1049.92,80.0,21.000000000000004,1.0,2037.85,Albuquerque,Atlanta,Atlanta,Albuquerque,0.0
227.14,18.0,294.0,1.0,341.94,Atlanta,Austin,Baltimore,San Antonio,6.0
233.74,66.0,17.0,1.0,1066.59,Atlanta,Atlanta,Albuquerque,San Francisco,6.0
45.85,20.0,91.99999999999999,1.0,1659.15,Atlanta,Albuquerque,Atlanta,Tucson,2.0
973.3899999999999,77.0,296.0,1.0,2042.22,Albuquerque,Austin,Atlanta,Seattle,2.0
415.5,66.0,141.0,1.0,10113.66,Albuquerque,Austin,Baltimore,New York,8.0
265.76,54.0,91.99999999999999,1.0,4446.17,Albuquerque,Atlanta,Albuquerque,Memphis,1.0
69.4,80.0,113.0,1.0,6452.77,Atlanta,Atlanta,Baltimore,Charlotte,5.0
332.93,35.0,293.0,1.0,2788.2,Atlanta,Austin,Albuquerque,Washington,2.0
267.9,20.0,160.0,1.0,596.1599999999999,Albuquerque,Austin,Albuquerque,Louisville,1.0
496.0299999999999,61.0,265.0,1.0,12904.66,Atlanta,Atlanta,Albuquerque,Detroit,3.0
376.26,37.0,245.0,1.0,9062.4,Albuquerque,Atlanta,Austin,Tucson,2.0
83.02,36.0,171.0,1.0,9009.56,Atlanta,Atlanta,Albuquerque,Nashville,8.0
93.26,20.0,72.0,1.0,1152.2,Atlanta,Atlanta,Austin,Kansas City,7.0
803.37,68.0,129.0,1.0,12168.37,Atlanta,Albuquerque,Atlanta,Memphis,1.0
35.76,23.0,122.0,1.0,611.8599999999999,Atlanta,Atlanta,Austin,Baltimore,0.0
28.53,62.0,99.0,1.0,8670.53,Albuquerque,Austin,Austin,Chicago,5.0
139.53,53.0,177.0,1.0,10098.86,Atlanta,Atlanta,Atlanta,Houston,7.0
307.57,33.0,285.0,1.0,5307.74,Atlanta,Albuquerque,Baltimore,Detroit,3.0
60.650000000000006,56.0,53.00000000000001,1.0,1047.28,Atlanta,Austin,Austin,Chicago,5.0
74.86,70.0,125.0,1.0,6921.48,Atlanta,Atlanta,Baltimore,Denver,3.0
231.91,34.0,165.0,1.0,112.76,Atlanta,Atlanta,Baltimore,Portland,4.0
126.20999999999998,75.0,268.0,1.0,5669.66,Atlanta,Albuquerque,Atlanta,El Paso,3.0
506.28,53.0,162.0,2.0,1309.95,Atlanta,Albuquerque,Baltimore,Baltimore,0.0
304.35,31.0,36.0,1.0,4057.1,Atlanta,Austin,Austin,Phoenix,4.0
281.85,22.0,109.0,1.0,1585.98,Albuquerque,Austin,Atlanta,Philadelphia,4.0
777.88,31.0,17.0,1.0,6825.55,Atlanta,Atlanta,Austin,Jacksonville,7.0
119.18,56.0,96.0,1.0,5516.5,Albuquerque,Atlanta,Baltimore,Virginia Beach,2.0
177.19,76.0,43.0,1.0,5343.3,Atlanta,Albuquerque,Albuquerque,Las Vegas,7.0
260.88,22.0,36.0,1.0,903.05,Atlanta,Albuquerque,Atlanta,Portland,4.0
169.47,24.0,18.999999999999996,1.0,1806.16,Atlanta,Austin,Austin,Jacksonville,7.0
73.23,26.0,14.0,1.0,787.7399999999999,Atlanta,Albuquerque,Austin,Mesa,1.0
1362.55,29.0,106.0,1.0,2429.68,Albuquerque,Albuquerque,Atlanta,Philadelphia,4.0
792.57,19.0,164.0,1.0,770.37,Atlanta,Albuquerque,Albuquerque,Los Angeles,1.0
237.06,71.0,45.99999999999999,1.0,1182.77,Atlanta,Atlanta,Austin,Washington,2.0
34.17,54.0,53.99999999999999,1.0,726.55,Austin,Atlanta,Albuquerque,Louisville,1.0
740.25,41.0,123.0,1.0,14464.3,Albuquerque,Atlanta,Albuquerque,Las Vegas,7.0
453.54,58.0,82.0,1.0,12046.3,Albuquerque,Austin,Baltimore,Virginia Beach,2.0
300.47,73.0,100.00000000000001,1.0,7885.64,Atlanta,Atlanta,Atlanta,Jacksonville,7.0
110.93,19.0,201.0,1.0,1952.3499999999997,Albuquerque,Atlanta,Albuquerque,Los Angeles,1.0
201.69,59.0,299.0,1.0,7328.52,Austin,Atlanta,Austin,Colorado Springs,5.0
399.21,59.0,109.0,1.0,3210.39,Atlanta,Atlanta,Austin,Tucson,2.0
1041.88,78.0,57.0,1.0,5726.2,Atlanta,Austin,Austin,Detroit,3.0
630.36,62.0,52.00000000000001,1.0,1363.65,Atlanta,Atlanta,Austin,Colorado Springs,5.0
10.94,60.0,245.0,1.0,1241.99,Atlanta,Austin,Albuquerque,Atlanta,0.0
215.9,38.0,235.0,1.0,7873.280000000001,Atlanta,Atlanta,Atlanta,Tucson,2.0
1422.55,79.0,165.0,1.0,5674.32,Atlanta,Atlanta,Austin,Seattle,2.0
226.37,49.0,141.0,1.0,9840.04,Atlanta,Atlanta,Atlanta,Memphis,1.0
444.89,43.0,101.0,1.0,10328.23,Atlanta,Albuquerque,Austin,Denver,3.0
280.57,25.0,24.0,1.0,293.24,Atlanta,Albuquerque,Atlanta,Oklahoma City,8.0
488.54,52.0,132.0,1.0,7486.63,Atlanta,Albuquerque,Atlanta,Houston,7.0
3.3,50.0,131.0,1.0,11385.37,Atlanta,Albuquerque,Albuquerque,Kansas City,7.0
199.39,69.0,165.0,1.0,7264.79,Albuquerque,Albuquerque,Austin,Raleigh,6.0
20.36,62.0,75.0,1.0,2762.48,Atlanta,Albuquerque,Albuquerque,Portland,4.0
493.11,53.0,236.0,1.0,7432.99,Austin,Albuquerque,Albuquerque,El Paso,3.0
307.41,19.0,14.0,1.0,1057.0,Atlanta,Albuquerque,Austin,Milwaukee,8.0
11.18,43.0,161.0,1.0,5956.89,Albuquerque,Baltimore,Albuquerque,Detroit,3.0
313.82,59.0,151.0,1.0,7261.59,Atlanta,Albuquerque,Baltimore,Atlanta,0.0
140.98,60.0,100.00000000000001,1.0,8127.4800000000005,Atlanta,Atlanta,Austin,Philadelphia,4.0
288.04,68.0,63.0,1.0,1748.02,Atlanta,Albuquerque,Albuquerque,Fort Worth,3.0
800.55,31.0,107.99999999999999,1.0,9660.22,Albuquerque,Austin,Atlanta,Las Vegas,7.0
485.54,46.0,143.0,1.0,6371.51,Atlanta,Albuquerque,Albuquerque,Omaha,4.0
521.15,54.0,214.0,1.0,9442.47,Atlanta,Atlanta,Albuquerque,Charlotte,5.0
304.93,65.0,158.0,1.0,13531.22,Atlanta,Austin,Atlanta,Virginia Beach,2.0
432.08,40.0,145.0,1.0,11500.62,Atlanta,Albuquerque,Atlanta,Chicago,5.0
694.2,61.0,72.0,1.0,1389.37,Atlanta,Atlanta,Albuquerque,San Diego,6.0
116.86,55.0,171.0,1.0,6706.56,Atlanta,Albuquerque,Baltimore,Boston,0.0
74.88,25.0,202.0,1.0,420.67,Atlanta,Albuquerque,Albuquerque,Oklahoma City,8.0
890.24,33.0,161.0,1.0,5140.93,Atlanta,Atlanta,Albuquerque,Phoenix,4.0
361.27,63.0,180.0,1.0,7945.57,Albuquerque,Atlanta,Atlanta,Denver,3.0
131.56,44.0,42.00000000000001,1.0,5873.54,Atlanta,Albuquerque,Albuquerque,San Jose,2.0
485.51,76.0,37.0,1.0,3074.45,Albuquerque,Albuquerque,Austin,Milwaukee,8.0
547.87,64.0,131.0,1.0,6155.76,Austin,Atlanta,Albuquerque,Virginia Beach,2.0
457.3,28.0,15.0,1.0,8318.29,Albuquerque,Austin,Austin,Fort Worth,3.0
506.24,58.0,64.0,1.0,230.09,Albuquerque,Austin,Atlanta,Louisville,1.0
486.59,57.0,119.0,1.0,2513.56,Atlanta,Baltimore,Albuquerque,Las Vegas,7.0
163.68,41.0,292.0,1.0,10090.05,Atlanta,Atlanta,Atlanta,Portland,4.0
581.65,22.0,176.0,1.0,480.19000000000005,Atlanta,Albuquerque,Baltimore,Nashville,8.0
52.01,48.0,85.0,1.0,1120.88,Albuquerque,Austin,Atlanta,Memphis,1.0
630.24,21.0,61.99999999999999,1.0,370.81,Atlanta,Atlanta,Austin,Louisville,1.0
523.74,43.0,159.0,1.0,13498.55,Albuquerque,Atlanta,Austin,Atlanta,0.0
705.6,40.0,123.99999999999999,3.0,14804.7,Atlanta,Atlanta,Baltimore,Philadelphia,4.0
217.5,46.0,35.0,1.0,3057.4,Atlanta,Austin,Baltimore,Fresno,3.0
91.48,51.0,141.0,1.0,14942.779999999999,Albuquerque,Austin,Albuquerque,Virginia Beach,2.0
5.25,39.0,49.0,1.0,14143.32,Atlanta,Austin,Atlanta,Phoenix,4.0
54.03,56.0,161.0,1.0,6736.3,Albuquerque,Atlanta,Atlanta,Houston,7.0
736.73,48.0,10.0,1.0,3313.07,Atlanta,Atlanta,Austin,San Francisco,6.0
368.91,54.0,14.0,1.0,829.7099999999999,Atlanta,Albuquerque,Baltimore,Seattle,2.0
33.06,53.0,170.0,1.0,1540.87,Atlanta,Austin,Baltimore,Atlanta,0.0
66.5,32.0,144.0,1.0,6820.23,Albuquerque,Atlanta,Albuquerque,Kansas City,7.0
177.08,35.0,85.0,1.0,13475.14,Atlanta,Austin,Albuquerque,,2.0
588.54,32.0,130.0,1.0,714.4499999999999,Atlanta,Austin,Baltimore,San Jose,2.0
173.5,21.0,282.0,1.0,1306.91,Albuquerque,Atlanta,Atlanta,Portland,4.0
78.33,56.0,189.0,1.0,7255.33,Atlanta,Albuquerque,Atlanta,Los Angeles,1.0
40.66,59.0,156.0,1.0,1153.84,Albuquerque,Austin,Baltimore,Seattle,2.0
97.22,77.0,55.0,1.0,6647.73,Atlanta,Atlanta,Atlanta,Louisville,1.0
34.07,22.0,81.0,1.0,8709.77,Atlanta,Albuquerque,Atlanta,Fort Worth,3.0
492.06000000000006,23.0,74.0,1.0,857.9,Albuquerque,Austin,Austin,Charlotte,5.0
842.01,53.0,185.0,1.0,509.45000000000005,Albuquerque,Austin,Atlanta,Washington,2.0
73.55,51.0,158.0,1.0,2812.06,Atlanta,Atlanta,Austin,Denver,3.0
760.53,57.0,118.0,1.0,6179.91,Atlanta,Austin,Austin,San Francisco,6.0
371.69,67.0,143.0,1.0,3484.32,Atlanta,Albuquerque,Atlanta,San Jose,2.0
218.96,18.0,13.0,1.0,754.21,Atlanta,Austin,Baltimore,El Paso,3.0
227.39,18.0,65.0,1.0,751.09,Atlanta,Austin,Albuquerque,Baltimore,0.0
237.99,39.0,86.0,1.0,8510.09,Albuquerque,Albuquerque,Atlanta,Kansas City,7.0
186.6,58.0,13.0,1.0,1508.72,Atlanta,Atlanta,Albuquerque,New York,8.0
341.15,18.0,148.0,1.0,511.36999999999995,Atlanta,Austin,Austin,Denver,3.0
434.58,59.0,215.0,1.0,12648.32,Atlanta,Atlanta,Austin,Fresno,3.0
312.88,54.0,44.0,1.0,233.21,Atlanta,Albuquerque,Austin,Raleigh,6.0
75.15,23.0,154.0,1.0,1092.92,Atlanta,Atlanta,Atlanta,Washington,2.0
23.3,59.0,161.0,1.0,6711.15,Atlanta,Albuquerque,Atlanta,Seattle,2.0
47.38,25.0,61.00000000000001,1.0,459.37,Atlanta,Austin,Baltimore,Philadelphia,4.0
512.81,79.0,30.0,1.0,6994.34,Albuquerque,Austin,Baltimore,San Antonio,6.0
488.15000000000003,43.0,168.00000000000003,1.0,7071.09,Albuquerque,Atlanta,Albuquerque,Philadelphia,4.0
12.82,44.0,156.0,1.0,9045.19,Atlanta,Baltimore,Albuquerque,San Diego,6.0
66.9,79.0,129.0,4.0,5238.71,Atlanta,Atlanta,Austin,Miami,8.0
535.91,43.0,22.0,1.0,9642.12,Albuquerque,Atlanta,Albuquerque,New York,8.0
270.72,26.0,53.00000000000001,1.0,6263.96,Albuquerque,Austin,Baltimore,San Francisco,6.0
97.98,72.0,18.0,1.0,7460.329999999999,Atlanta,Atlanta,Baltimore,Virginia Beach,2.0
196.08,61.0,98.0,1.0,4233.82,Atlanta,Austin,Baltimore,Omaha,4.0
251.18000000000004,42.0,246.0,1.0,8303.9,Atlanta,Albuquerque,Austin,Las Vegas,7.0
44.52,28.0,205.0,1.0,314.28,Atlanta,Austin,Austin,Dallas,5.0
178.87,35.0,180.0,1.0,5241.23,Atlanta,Albuquerque,Atlanta,Phoenix,4.0
1176.28,54.0,174.0,5.0,323.69,Atlanta,Albuquerque,Austin,San Francisco,6.0
386.68,46.0,128.0,1.0,6863.06,Atlanta,Atlanta,Baltimore,Oklahoma City,8.0
167.14,76.0,20.0,1.0,3877.7299999999996,Albuquerque,Atlanta,Atlanta,Fort Worth,3.0
345.22,69.0,253.0,1.0,4046.5800000000004,Albuquerque,Austin,Atlanta,Houston,7.0
74.85,72.0,117.0,1.0,2409.73,Atlanta,Austin,Baltimore,Phoenix,4.0
671.73,58.0,53.99999999999999,1.0,5211.88,Atlanta,Austin,Baltimore,Nashville,8.0
255.03999999999996,45.0,151.99999999999997,1.0,6217.86,Atlanta,Atlanta,Austin,Virginia Beach,2.0
45.77,25.0,109.0,1.0,5978.12,Atlanta,Atlanta,Albuquerque,Columbus,5.0
329.69,26.0,66.0,1.0,1671.66,Atlanta,Austin,Atlanta,Oklahoma City,8.0
362.04,58.0,198.0,2.0,8421.88,Atlanta,Atlanta,Albuquerque,Dallas,5.0
11.92,53.0,52.00000000000001,1.0,14611.9,Atlanta,Atlanta,Albuquerque,Los Angeles,1.0
47.42,64.0,28.0,1.0,8253.52,Atlanta,Atlanta,Baltimore,San Jose,2.0
35.99,63.0,129.0,1.0,4489.79,Atlanta,Albuquerque,Baltimore,Colorado Springs,5.0
151.19,37.0,96.0,1.0,11903.82,Atlanta,Austin,Austin,Louisville,1.0
242.62,22.0,234.0,1.0,483.02000000000004,Atlanta,Atlanta,Baltimore,Raleigh,6.0
48.72,21.0,17.0,1.0,816.0799999999999,Atlanta,Albuquerque,Austin,Oklahoma City,8.0
43.46,25.0,80.0,1.0,578.06,Atlanta,Atlanta,Albuquerque,Jacksonville,7.0
1036.21,25.0,126.0,1.0,477.3,Atlanta,Albuquerque,Austin,Chicago,5.0
443.79,53.0,87.0,1.0,3133.85,Atlanta,Austin,Atlanta,Kansas City,7.0
365.14,68.0,57.0,1.0,5894.09,Atlanta,Atlanta,Atlanta,Philadelphia,4.0
757.41,22.0,37.0,1.0,9532.42,Atlanta,Atlanta,Atlanta,Atlanta,0.0
